#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -1.7143289979e+01    2.9403497102e+02   -3.1492886887e+01    1.4349596908e+01   -5.5364459568e+01    8.3197576927e-01    1.6058833665e+01    6.9807632464e+00    4.0000000000e+01    3.9975840000e-03    4.8125000000e-01
         1   -1.7307645151e+01    2.9984255160e+02   -2.9995489550e+01    1.2687844399e+01   -5.5538354738e+01    1.7033283983e+00    1.6858773543e+01    6.9807632464e+00    4.0000000000e+01    4.0547920000e-03    4.6312500000e-01
         2   -1.7204232293e+01    2.9609250538e+02   -2.9322910640e+01    1.2118678346e+01   -5.4470389591e+01    1.7942429302e+00    1.6372472774e+01    6.9807632464e+00    4.0000000000e+01    4.0586250000e-03    4.9062500000e-01
         3   -1.7332420690e+01    3.0072679843e+02   -3.2320376231e+01    1.4987955542e+01   -5.9574424761e+01    2.7625476976e+00    1.7510737586e+01    6.9807632464e+00    4.0000000000e+01    4.0506670000e-03    4.8187500000e-01
         4   -1.7179750428e+01    2.9526636636e+02   -3.0116443559e+01    1.2936693131e+01   -5.5880682194e+01    2.0407638086e+00    1.6742711580e+01    6.9807632464e+00    4.0000000000e+01    3.8997090000e-03    4.5937500000e-01
         5   -1.7101115473e+01    2.9295338682e+02   -2.8089485283e+01    1.0988369811e+01   -5.2819189915e+01    1.7540161493e+00    1.5994925236e+01    6.9807632464e+00    4.0000000000e+01    4.1486660000e-03    5.0500000000e-01
         6   -1.7206838108e+01    2.9636227106e+02   -3.0816593367e+01    1.3609755260e+01   -5.6298747917e+01    1.6901756374e+00    1.6811215666e+01    6.9807632464e+00    4.0000000000e+01    3.9404170000e-03    4.7500000000e-01
         7   -1.7140772912e+01    2.9410391575e+02   -3.0646659532e+01    1.3505886620e+01   -5.5230863478e+01    1.1261678071e+00    1.6477272893e+01    6.9807632464e+00    4.0000000000e+01    4.1014580000e-03    4.7750000000e-01
         8   -1.7259914991e+01    2.9800377582e+02   -2.9232079290e+01    1.1972164299e+01   -5.3386829847e+01    1.6678173915e+00    1.5506169920e+01    6.9807632464e+00    4.0000000000e+01    3.7751250000e-03    4.9937500000e-01
         9   -1.7234253271e+01    2.9716906394e+02   -3.1044967967e+01    1.3810714696e+01   -5.5958196808e+01    1.7869969681e+00    1.6145468626e+01    6.9807632464e+00    4.0000000000e+01    3.8293750000e-03    4.6750000000e-01
        10   -1.7199292480e+01    2.9589981630e+02   -3.0156591374e+01    1.2957298894e+01   -5.6286924073e+01    2.5354570577e+00    1.6614112395e+01    6.9807632464e+00    4.0000000000e+01    4.0742910000e-03    4.6437500000e-01
        11   -1.7191927380e+01    2.9574333244e+02   -3.2927372767e+01    1.5735445387e+01   -5.9007544010e+01    1.5864875168e+00    1.7512920479e+01    6.9807632464e+00    4.0000000000e+01    3.9950840000e-03    4.6500000000e-01
        12   -1.7171099650e+01    2.9507012092e+02   -3.1380808092e+01    1.4209708442e+01   -5.7895970608e+01    2.1455498887e+00    1.7388849381e+01    6.9807632464e+00    4.0000000000e+01    4.0139160000e-03    4.8000000000e-01
        13   -1.7367472254e+01    3.0190361017e+02   -2.9423594783e+01    1.2056122529e+01   -5.4599259703e+01    2.2974127845e+00    1.5897488890e+01    6.9807632464e+00    4.0000000000e+01    3.9142500000e-03    4.7937500000e-01
        14   -1.7188411151e+01    2.9565097546e+02   -2.9803496560e+01    1.2615085409e+01   -5.4533020209e+01    1.3759127752e+00    1.6372847627e+01    6.9807632464e+00    4.0000000000e+01    3.9968330000e-03    4.7437500000e-01
        15   -1.7388378206e+01    3.0245527016e+02   -2.9994990753e+01    1.2606612546e+01   -5.4734931673e+01    1.8552603997e+00    1.5903917275e+01    6.9807632464e+00    4.0000000000e+01    4.0434160000e-03    4.8875000000e-01
        16   -1.7265414730e+01    2.9823245139e+02   -3.2312116840e+01    1.5046702110e+01   -5.9112713306e+01    2.3528111464e+00    1.7467022073e+01    6.9807632464e+00    4.0000000000e+01    4.0248750000e-03    4.8437500000e-01
        17   -1.7321171206e+01    3.0122915459e+02   -3.2730684416e+01    1.5409513210e+01   -5.9339348813e+01    1.8034109065e+00    1.7824490244e+01    6.9807632464e+00    4.0000000000e+01    3.9899170000e-03    4.7062500000e-01
        18   -1.7392066183e+01    3.0265881447e+02   -3.3273498500e+01    1.5881432317e+01   -6.0370259763e+01    1.3306316074e+00    1.8785366409e+01    6.9807632464e+00    4.0000000000e+01    4.0248750000e-03    4.5187500000e-01
