#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        23   -1.7219962315e+01    2.9669179989e+02   -3.1338684773e+01    1.4118722459e+01   -5.6635802344e+01    1.4597118361e+00    1.6856642488e+01    6.9807632464e+00    1.2995180112e+03    6.5737333000e-02    9.9740384615e-01
        24   -1.7211885577e+01    2.9647813802e+02   -3.1110174880e+01    1.3898289303e+01   -5.6963637586e+01    1.8258441867e+00    1.7046855273e+01    6.9807632464e+00    1.2985192352e+03    6.6333167000e-02    9.9682448037e-01
        25   -1.7224950942e+01    2.9684474959e+02   -3.1072960903e+01    1.3848009961e+01   -5.7213819581e+01    1.9451009648e+00    1.7214994467e+01    6.9807632464e+00    1.2995821277e+03    6.5919500000e-02    9.9673076923e-01
        26   -1.7250350320e+01    2.9781410049e+02   -3.1353492351e+01    1.4103142032e+01   -5.7122916706e+01    1.7414922299e+00    1.7047168878e+01    6.9807632464e+00    1.2927856163e+03    6.6884291000e-02    9.9690641918e-01
        27   -1.7295006088e+01    2.9934059971e+02   -3.1733379232e+01    1.4438373144e+01   -5.7814861573e+01    1.8643276611e+00    1.7236391434e+01    6.9807632464e+00    1.2801582209e+03    6.5140417000e-02    9.9726562500e-01
        28   -1.7269128549e+01    2.9843756175e+02   -3.1432233714e+01    1.4163105165e+01   -5.7427446524e+01    1.7868245612e+00    1.7227625002e+01    6.9807632464e+00    1.2799923793e+03    6.5583250000e-02    9.9814453125e-01
        29   -1.7283516950e+01    2.9893163394e+02   -3.1861951929e+01    1.4578434978e+01   -5.8207006377e+01    2.1549685785e+00    1.7209322623e+01    6.9807632464e+00    1.2850725087e+03    6.7485792000e-02    9.9688715953e-01
        30   -1.7272562219e+01    2.9863322324e+02   -3.1578925535e+01    1.4306363316e+01   -5.8242612121e+01    2.4805407901e+00    1.7202382549e+01    6.9807632464e+00    1.2969342538e+03    6.8054541000e-02    9.9730146492e-01
        31   -1.7254143011e+01    2.9816829628e+02   -3.1602387255e+01    1.4348244243e+01   -5.8486311861e+01    2.6062882568e+00    1.7296873103e+01    6.9807632464e+00    1.2997679378e+03    7.1041167000e-02    9.9836538462e-01
        32   -1.7306832074e+01    2.9982033780e+02   -3.1906680676e+01    1.4599848603e+01   -5.8393693758e+01    2.0661352722e+00    1.7440114563e+01    6.9807632464e+00    1.3011449773e+03    6.8448334000e-02    9.9740584166e-01
        33   -1.7313696949e+01    3.0002141358e+02   -3.2025082493e+01    1.4711385543e+01   -5.7859394246e+01    1.5741636281e+00    1.7279384879e+01    6.9807632464e+00    1.3141002245e+03    6.8768916000e-02    9.9743150685e-01
        34   -1.7312529483e+01    2.9993299370e+02   -3.1700412246e+01    1.4387882763e+01   -5.7335055187e+01    1.5623055284e+00    1.7091574167e+01    6.9807632464e+00    1.3021516751e+03    6.9016416000e-02    9.9731182796e-01
        35   -1.7307051509e+01    2.9980338868e+02   -3.1210536147e+01    1.3903484638e+01   -5.6590966887e+01    1.4952175582e+00    1.6904449935e+01    6.9807632464e+00    1.3190180876e+03    6.8229125000e-02    9.9763078089e-01
        36   -1.7287247596e+01    2.9907598268e+02   -3.0616936964e+01    1.3329689368e+01   -5.5651195761e+01    1.2042176405e+00    1.6849277909e+01    6.9807632464e+00    1.3178790650e+03    6.6027458000e-02    9.9677541730e-01
        37   -1.7286330444e+01    2.9897295517e+02   -3.0015984794e+01    1.2729654351e+01   -5.4764586834e+01    1.1775935678e+00    1.6590245226e+01    6.9807632464e+00    1.3099195250e+03    6.5364417000e-02    9.9742366412e-01
        38   -1.7228785062e+01    2.9698386137e+02   -2.9893629200e+01    1.2664844137e+01   -5.4715784636e+01    1.3678886206e+00    1.6473503569e+01    6.9807632464e+00    1.2976055773e+03    6.5229625000e-02    9.9759244992e-01
        39   -1.7225875851e+01    2.9694267679e+02   -3.0580429911e+01    1.3354554060e+01   -5.5318034323e+01    1.3183483312e+00    1.6438492834e+01    6.9807632464e+00    1.2906369818e+03    6.5195875000e-02    9.9748257165e-01
        40   -1.7239035641e+01    2.9733339407e+02   -2.9888616919e+01    1.2649581278e+01   -5.5198320844e+01    2.0256287019e+00    1.6303311977e+01    6.9807632464e+00    1.2897298374e+03    6.5735334000e-02    9.9806201550e-01
        41   -1.7287579281e+01    2.9903811526e+02   -3.0069291177e+01    1.2781711897e+01   -5.5726624753e+01    2.2256094415e+00    1.6450960888e+01    6.9807632464e+00    1.2910213646e+03    6.2846458000e-02    9.9786986832e-01
        42   -1.7276326801e+01    2.9866840635e+02   -2.9703769909e+01    1.2427443108e+01   -5.5171395353e+01    2.1152518252e+00    1.6371610373e+01    6.9807632464e+00    1.2979609042e+03    6.3593208000e-02    9.9682203390e-01
        43   -1.7258482286e+01    2.9797906202e+02   -3.0566392124e+01    1.3307909839e+01   -5.5772450442e+01    1.7517001416e+00    1.6473594930e+01    6.9807632464e+00    1.2998014320e+03    6.5620875000e-02    9.9721153846e-01
        44   -1.7302095125e+01    2.9951954964e+02   -3.0697950513e+01    1.3395855388e+01   -5.6282440267e+01    1.9921668955e+00    1.6611559612e+01    6.9807632464e+00    1.3000716064e+03    6.4464000000e-02    9.9750000000e-01
        45   -1.7296022882e+01    2.9949497923e+02   -3.1518101848e+01    1.4222078966e+01   -5.6772987213e+01    1.5374311051e+00    1.6736691014e+01    6.9807632464e+00    1.2990488427e+03    6.4541459000e-02    9.9807544265e-01
        46   -1.7274035609e+01    2.9865103466e+02   -3.1429958647e+01    1.4155923038e+01   -5.6519707199e+01    1.4305133689e+00    1.6678471937e+01    6.9807632464e+00    1.2829682294e+03    7.0736000000e-02    9.9697973500e-01
        47   -1.7270922790e+01    2.9862254286e+02   -3.1510342174e+01    1.4239419385e+01   -5.7714375500e+01    2.3710098183e+00    1.6852260261e+01    6.9807632464e+00    1.2849773012e+03    6.4989208000e-02    9.9747081712e-01
        48   -1.7198190542e+01    2.9606982336e+02   -3.0851657611e+01    1.3653467069e+01   -5.6661243771e+01    2.1403105961e+00    1.6688512318e+01    6.9807632464e+00    1.2646162503e+03    6.3653542000e-02    9.9644268775e-01
        49   -1.7209752625e+01    2.9640343920e+02   -3.1200341326e+01    1.3990588701e+01   -5.7024755769e+01    2.0920916694e+00    1.6751559527e+01    6.9807632464e+00    1.2597065780e+03    6.4994291000e-02    9.9632936508e-01
        50   -1.7220389053e+01    2.9670232594e+02   -3.1081735412e+01    1.3861346359e+01   -5.6763506600e+01    1.8579050504e+00    1.6843102892e+01    6.9807632464e+00    1.2657522306e+03    7.3719000000e-02    9.9763033175e-01
        51   -1.7237084923e+01    2.9728011907e+02   -3.1034316344e+01    1.3797231421e+01   -5.6397941368e+01    1.6718866979e+00    1.6710975079e+01    6.9807632464e+00    1.2818125551e+03    6.3752125000e-02    9.9697737910e-01
        52   -1.7251008150e+01    2.9777465828e+02   -3.0809552010e+01    1.3558543861e+01   -5.6456073961e+01    1.8715460428e+00    1.6794212661e+01    6.9807632464e+00    1.2738989087e+03    6.2942958000e-02    9.9784144427e-01
        53   -1.7287782651e+01    2.9917469630e+02   -3.1046578792e+01    1.3758796141e+01   -5.6639475799e+01    1.7258962810e+00    1.6886237480e+01    6.9807632464e+00    1.2800942472e+03    6.3603750000e-02    9.9716796875e-01
        54   -1.7261078706e+01    2.9818026065e+02   -3.1435196197e+01    1.4174117492e+01   -5.7756392129e+01    2.2037035678e+00    1.7136729118e+01    6.9807632464e+00    1.2899180303e+03    6.5132500000e-02    9.9796511628e-01
        55   -1.7328736909e+01    3.0052142506e+02   -3.0818080639e+01    1.3489343730e+01   -5.6852580689e+01    2.0376557789e+00    1.7016081024e+01    6.9807632464e+00    1.2893341807e+03    6.5907791000e-02    9.9844840962e-01
        56   -1.7287244264e+01    2.9906101680e+02   -3.1070021996e+01    1.3782777732e+01   -5.6866269782e+01    2.0069244822e+00    1.6808560057e+01    6.9807632464e+00    1.2820951285e+03    6.5314834000e-02    9.9726989080e-01
        57   -1.7261799704e+01    2.9811297952e+02   -3.0891173164e+01    1.3629373461e+01   -5.6168383900e+01    1.6164597615e+00    1.6679987728e+01    6.9807632464e+00    1.2700111380e+03    6.3893791000e-02    9.9753937008e-01
        58   -1.7285533153e+01    2.9892546355e+02   -3.0498702609e+01    1.3213169456e+01   -5.5378924532e+01    1.1932250356e+00    1.6706233641e+01    6.9807632464e+00    1.2820926828e+03    6.8939833000e-02    9.9882995320e-01
        59   -1.7308364092e+01    2.9971969886e+02   -3.0352127311e+01    1.3043763219e+01   -5.6037731419e+01    1.8039920705e+00    1.6900848791e+01    6.9807632464e+00    1.2812214804e+03    6.4810001000e-02    9.9775565964e-01
        60   -1.7303557809e+01    2.9987325558e+02   -3.1463751640e+01    1.4160193831e+01   -5.6579353467e+01    1.2657509566e+00    1.6869087623e+01    6.9807632464e+00    1.2911819050e+03    6.4226875000e-02    9.9593338497e-01
        61   -1.7334835330e+01    3.0098466869e+02   -3.1770431004e+01    1.4435595673e+01   -5.7080577625e+01    1.4935307209e+00    1.6835852654e+01    6.9807632464e+00    1.2803618284e+03    6.3716666000e-02    9.9736328125e-01
        62   -1.7302968092e+01    3.0165554964e+02   -3.0820459041e+01    1.3517490949e+01   -5.7111438364e+01    2.3314036723e+00    1.6978812405e+01    6.9807632464e+00    1.2699194417e+03    6.3662541000e-02    9.9675196850e-01
        63   -1.7213192144e+01    2.9650716771e+02   -3.1209429910e+01    1.3996237765e+01   -5.7541980920e+01    2.1942503567e+00    1.7157537407e+01    6.9807632464e+00    1.2726550667e+03    6.4177375000e-02    9.9705420267e-01
        64   -1.7250267272e+01    2.9785079637e+02   -3.1938607887e+01    1.4688340615e+01   -5.7680523376e+01    1.6177881630e+00    1.7143364079e+01    6.9807632464e+00    1.2788766722e+03    6.5003750000e-02    9.9569976544e-01
        65   -1.7227848369e+01    2.9711094115e+02   -3.0708561250e+01    1.3480712882e+01   -5.7237108309e+01    2.3367508502e+00    1.7211032963e+01    6.9807632464e+00    1.2617989408e+03    6.3361709000e-02    9.9712757528e-01
        66   -1.7308265405e+01    2.9999009629e+02   -3.0996746950e+01    1.3688481544e+01   -5.7490255061e+01    2.1918025456e+00    1.7320942320e+01    6.9807632464e+00    1.2662852982e+03    6.3401666000e-02    9.9684044234e-01
        67   -1.7270825101e+01    2.9848705314e+02   -3.1159053461e+01    1.3888228360e+01   -5.7400925797e+01    2.1157532721e+00    1.7145355818e+01    6.9807632464e+00    1.2630940880e+03    6.7872958000e-02    9.9762470309e-01
        68   -1.7313470823e+01    2.9998137163e+02   -3.1665217252e+01    1.4351746429e+01   -5.7935239502e+01    2.0228855535e+00    1.7266373450e+01    6.9807632464e+00    1.2702962058e+03    6.4952375000e-02    9.9724409449e-01
        69   -1.7285098488e+01    2.9895401823e+02   -3.1434656751e+01    1.4149558263e+01   -5.7728513277e+01    2.1243851567e+00    1.7188708123e+01    6.9807632464e+00    1.2601728883e+03    6.3749875000e-02    9.9603174603e-01
        70   -1.7271680527e+01    2.9851548712e+02   -3.1583100387e+01    1.4311419859e+01   -5.7890561702e+01    2.2931075688e+00    1.7033590500e+01    6.9807632464e+00    1.2740309236e+03    6.3680250000e-02    9.9617346939e-01
        71   -1.7301957922e+01    2.9966108790e+02   -3.1243788655e+01    1.3941830733e+01   -5.6973214082e+01    1.7412484004e+00    1.7007413780e+01    6.9807632464e+00    1.2821738437e+03    6.4398500000e-02    9.9746489860e-01
        72   -1.7313911776e+01    3.0010961349e+02   -3.0620033919e+01    1.3306122142e+01   -5.5999950218e+01    1.3826660703e+00    1.7016486983e+01    6.9807632464e+00    1.2812485734e+03    6.4376625000e-02    9.9677985948e-01
        73   -1.7243205959e+01    2.9757977444e+02   -3.0695328366e+01    1.3452122407e+01   -5.5830481436e+01    1.3824673595e+00    1.6771922463e+01    6.9807632464e+00    1.2718552764e+03    6.3105292000e-02    9.9734669811e-01
        74   -1.7279047542e+01    2.9882417314e+02   -3.1209175506e+01    1.3930127965e+01   -5.6008636914e+01    1.1516424497e+00    1.6667055712e+01    6.9807632464e+00    1.2601186332e+03    6.3275500000e-02    9.9781746032e-01
        75   -1.7298912331e+01    2.9952913832e+02   -3.0974803155e+01    1.3675890824e+01   -5.6604680552e+01    1.8523814013e+00    1.6796732749e+01    6.9807632464e+00    1.2672296447e+03    6.4109500000e-02    9.9792817680e-01
        76   -1.7275599485e+01    2.9864775410e+02   -3.0243611330e+01    1.2968011845e+01   -5.5826065531e+01    1.8385149979e+00    1.6763175957e+01    6.9807632464e+00    1.2800260155e+03    6.7583875000e-02    9.9804687500e-01
        77   -1.7303803952e+01    2.9967616188e+02   -3.1016475354e+01    1.3712671402e+01   -5.6733848286e+01    1.7505939154e+00    1.6986015770e+01    6.9807632464e+00    1.2741950128e+03    6.6165500000e-02    9.9754709576e-01
        78   -1.7231777422e+01    2.9838952392e+02   -3.2143636018e+01    1.4911858596e+01   -5.7403019652e+01    1.2289502844e+00    1.7049670103e+01    6.9807632464e+00    1.2767712316e+03    6.7915334000e-02    9.9696554424e-01
        79   -1.7230308009e+01    2.9713852681e+02   -3.1670112131e+01    1.4439804122e+01   -5.7685947535e+01    1.9110469434e+00    1.7124025214e+01    6.9807632464e+00    1.2558116396e+03    6.6246541000e-02    9.9771098726e-01
        80   -1.7185799434e+01    2.9557300028e+02   -3.1669201664e+01    1.4483402230e+01   -5.7799631400e+01    1.9920689397e+00    1.7157597550e+01    6.9807632464e+00    1.2426612429e+03    6.5631667000e-02    9.9748592116e-01
        81   -1.7249563861e+01    2.9775368284e+02   -3.1146922239e+01    1.3897358379e+01   -5.6861998198e+01    1.7914605736e+00    1.6942852139e+01    6.9807632464e+00    1.2221139851e+03    6.3195583000e-02    9.9754500818e-01
        82   -1.7314404477e+01    3.0008660612e+02   -3.0988545491e+01    1.3674141014e+01   -5.6695866216e+01    1.7508608721e+00    1.6975696606e+01    6.9807632464e+00    1.2175653163e+03    6.2092959000e-02    9.9630238291e-01
        83   -1.7199974733e+01    2.9597433557e+02   -3.1393143431e+01    1.4193168698e+01   -5.6440552412e+01    1.2597443291e+00    1.6806901406e+01    6.9807632464e+00    1.2069293956e+03    6.1929500000e-02    9.9710024855e-01
        84   -1.7196854627e+01    2.9587201623e+02   -3.0971293382e+01    1.3774438755e+01   -5.6038289371e+01    1.4498370587e+00    1.6636395683e+01    6.9807632464e+00    1.1919771931e+03    6.0545333000e-02    9.9695889262e-01
        85   -1.7242964070e+01    2.9762040016e+02   -3.0192120018e+01    1.2949155948e+01   -5.5818878446e+01    2.0594979952e+00    1.6586497186e+01    6.9807632464e+00    1.1992276829e+03    5.9735958000e-02    9.9791492911e-01
        86   -1.7266026342e+01    2.9835277858e+02   -3.0402468661e+01    1.3136442319e+01   -5.6201403857e+01    2.1497692628e+00    1.6668402687e+01    6.9807632464e+00    1.2052997316e+03    6.1506083000e-02    9.9688796680e-01
        87   -1.7300896341e+01    2.9968506809e+02   -3.0674330847e+01    1.3373434506e+01   -5.6027360460e+01    1.7138061233e+00    1.6658460243e+01    6.9807632464e+00    1.2015897668e+03    5.8717541000e-02    9.9698168193e-01
        88   -1.7225820793e+01    2.9706509626e+02   -3.0362189623e+01    1.3136368830e+01   -5.5865036372e+01    1.8617266376e+00    1.6660356865e+01    6.9807632464e+00    1.2021134575e+03    5.8646333000e-02    9.9771214642e-01
