#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3880879608e+02    5.7030999869e+04   -3.2944540376e+02    9.0636607680e+01   -1.6278311186e+03    3.1071177426e+01    7.0638760968e+02    5.6092692771e+02    1.3056000000e+04    5.4448015100e-01    6.5584063096e-01
         1   -2.3881005399e+02    5.7031609286e+04   -3.2931106045e+02    9.0501006456e+01   -1.6279358275e+03    3.1116825206e+01    7.0658101413e+02    5.6092692771e+02    1.3056000000e+04    5.4221527400e-01    6.5582352516e-01
         2   -2.3880271514e+02    5.7028105074e+04   -3.2965107257e+02    9.0848357429e+01   -1.6280708422e+03    3.0911223742e+01    7.0658161816e+02    5.6092692771e+02    1.3056000000e+04    5.3027049000e-01    6.5576346337e-01
         3   -2.3881184376e+02    5.7032487722e+04   -3.2947534184e+02    9.0663498079e+01   -1.6278877829e+03    3.0947997240e+01    7.0653751616e+02    5.6092692771e+02    1.3056000000e+04    5.3152263200e-01    6.5598111554e-01
         4   -2.3879441584e+02    5.7024138003e+04   -3.2945796098e+02    9.0663545143e+01   -1.6283462925e+03    3.1174486681e+01    7.0678691713e+02    5.6092692771e+02    1.3056000000e+04    5.4485610500e-01    6.5586522586e-01
         5   -2.3878345857e+02    5.7018909093e+04   -3.2929977074e+02    9.0516312173e+01   -1.6280704225e+03    3.1171865243e+01    7.0667185876e+02    5.6092692771e+02    1.3056000000e+04    5.2776972000e-01    6.5578105852e-01
         6   -2.3878003005e+02    5.7017316494e+04   -3.2954275963e+02    9.0762729585e+01   -1.6279007517e+03    3.0866688207e+01    7.0656437613e+02    5.6092692771e+02    1.3056000000e+04    5.4296018600e-01    6.5586890659e-01
         7   -2.3878749203e+02    5.7020850395e+04   -3.2931622180e+02    9.0528729774e+01   -1.6280738417e+03    3.1204213379e+01    7.0662647885e+02    5.6092692771e+02    1.3056000000e+04    5.2946391100e-01    6.5587922539e-01
         8   -2.3880056250e+02    5.7027127081e+04   -3.2941004228e+02    9.0609479784e+01   -1.6281318040e+03    3.1239994654e+01    7.0655483931e+02    5.6092692771e+02    1.3056000000e+04    5.3023494900e-01    6.5578384566e-01
         9   -2.3880092213e+02    5.7027216474e+04   -3.2943782881e+02    9.0636906682e+01   -1.6281127161e+03    3.1100177078e+01    7.0664778247e+02    5.6092692771e+02    1.3056000000e+04    5.3531339100e-01    6.5580190887e-01
