#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3878170504e+02    5.7018100204e+04   -3.2948894035e+02    9.0707235306e+01   -1.6280495188e+03    3.0984336778e+01    7.0664931398e+02    5.6092692771e+02    1.3056000000e+04    5.3407793200e-01    6.5587065121e-01
         1   -2.3879209029e+02    5.7023008186e+04   -3.2939262612e+02    9.0600535835e+01   -1.6281493962e+03    3.1057445029e+01    7.0677239732e+02    5.6092692771e+02    1.3056000000e+04    5.3694891700e-01    6.5593811700e-01
         2   -2.3879988225e+02    5.7026762347e+04   -3.2922861250e+02    9.0428730256e+01   -1.6280171290e+03    3.1254985810e+01    7.0660660301e+02    5.6092692771e+02    1.3056000000e+04    5.3424297500e-01    6.5589616098e-01
         3   -2.3877438560e+02    5.7014632999e+04   -3.2919776981e+02    9.0423384202e+01   -1.6283886548e+03    3.1425467727e+01    7.0683848954e+02    5.6092692771e+02    1.3056000000e+04    5.3674828600e-01    6.5590501174e-01
         4   -2.3877741035e+02    5.7016003603e+04   -3.2927686932e+02    9.0499458970e+01   -1.6280516360e+03    3.1319025365e+01    7.0652881365e+02    5.6092692771e+02    1.3056000000e+04    5.3273809200e-01    6.5583780127e-01
         5   -2.3878957025e+02    5.7021829924e+04   -3.2925964075e+02    9.0470070507e+01   -1.6280070398e+03    3.1183818072e+01    7.0663665327e+02    5.6092692771e+02    1.3056000000e+04    5.3025345600e-01    6.5596769046e-01
         6   -2.3878871868e+02    5.7021398168e+04   -3.2932202640e+02    9.0533307716e+01   -1.6280461038e+03    3.1084786443e+01    7.0671236324e+02    5.6092692771e+02    1.3056000000e+04    5.3166350900e-01    6.5581367443e-01
         7   -2.3879139078e+02    5.7022730621e+04   -3.2931185499e+02    9.0520464214e+01   -1.6279683349e+03    3.1076674033e+01    7.0665287817e+02    5.6092692771e+02    1.3056000000e+04    5.3539537400e-01    6.5586814066e-01
         8   -2.3881301836e+02    5.7033115880e+04   -3.2943953216e+02    9.0626513797e+01   -1.6280381770e+03    3.1108827745e+01    7.0656288944e+02    5.6092692771e+02    1.3056000000e+04    5.5541798500e-01    6.5583405671e-01
         9   -2.3881690811e+02    5.7034846525e+04   -3.2931584000e+02    9.0498931891e+01   -1.6280480565e+03    3.1115852622e+01    7.0668943618e+02    5.6092692771e+02    1.3056000000e+04    5.4720298900e-01    6.5592073461e-01
