#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3879459445e+02    5.7024233866e+04   -3.2924193955e+02    9.0447345103e+01   -1.6281306185e+03    3.1307064367e+01    7.0665468691e+02    5.6092692771e+02    1.3056000000e+04    5.3995309200e-01    6.5600005106e-01
         1   -2.3878609652e+02    5.7020211525e+04   -3.2938593935e+02    9.0599842828e+01   -1.6282102323e+03    3.1318426680e+01    7.0657893852e+02    5.6092692771e+02    1.3056000000e+04    5.3514510500e-01    6.5590764995e-01
         2   -2.3879997032e+02    5.7026787891e+04   -3.2952520765e+02    9.0725237326e+01   -1.6280176647e+03    3.1093337447e+01    7.0647219190e+02    5.6092692771e+02    1.3056000000e+04    5.3071956600e-01    6.5590699040e-01
         3   -2.3878396864e+02    5.7019158600e+04   -3.2951932637e+02    9.0735357725e+01   -1.6281864475e+03    3.1050510298e+01    7.0668968312e+02    5.6092692771e+02    1.3056000000e+04    5.3750258200e-01    6.5590803292e-01
         4   -2.3879483495e+02    5.7024361313e+04   -3.2934258673e+02    9.0547751782e+01   -1.6279647531e+03    3.1121502713e+01    7.0657373596e+02    5.6092692771e+02    1.3056000000e+04    5.2977031300e-01    6.5589822474e-01
         5   -2.3879324645e+02    5.7023601696e+04   -3.2944628841e+02    9.0653041953e+01   -1.6280364043e+03    3.1101389161e+01    7.0656179901e+02    5.6092692771e+02    1.3056000000e+04    5.2989005300e-01    6.5585197100e-01
         6   -2.3881484832e+02    5.7033914941e+04   -3.2919377476e+02    9.0378926442e+01   -1.6278075778e+03    3.1237874398e+01    7.0644900093e+02    5.6092692771e+02    1.3056000000e+04    5.2515122900e-01    6.5589373553e-01
         7   -2.3878870276e+02    5.7021425203e+04   -3.2940877456e+02    9.0620071797e+01   -1.6280157765e+03    3.1092579719e+01    7.0658749453e+02    5.6092692771e+02    1.3056000000e+04    5.2900328300e-01    6.5594192538e-01
         8   -2.3880429342e+02    5.7028850650e+04   -3.2948944375e+02    9.0685150330e+01   -1.6278642780e+03    3.0974386893e+01    7.0647351970e+02    5.6092692771e+02    1.3056000000e+04    5.3272698400e-01    6.5584709882e-01
         9   -2.3880287713e+02    5.7028207582e+04   -3.2926075077e+02    9.0457873641e+01   -1.6280902758e+03    3.1362310689e+01    7.0654028661e+02    5.6092692771e+02    1.3056000000e+04    5.3146547200e-01    6.5591058602e-01
