#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3679277347e+02    5.6075391829e+04   -3.2490685948e+02    8.8114086005e+01   -1.6296541030e+03    3.1285416472e+01    7.1253489938e+02    5.6092692771e+02    1.3056000000e+04    3.1435234400e-01    6.6336020476e-01
         1   -2.3677758831e+02    5.6068153846e+04   -3.2484626341e+02    8.8068675101e+01   -1.6296093668e+03    3.1254695936e+01    7.1258147970e+02    5.6092692771e+02    1.3056000000e+04    3.3855599900e-01    6.6343407458e-01
         2   -2.3679773243e+02    5.6077787449e+04   -3.2481894484e+02    8.8021212410e+01   -1.6293698086e+03    3.1299378436e+01    7.1232455758e+02    5.6092692771e+02    1.3056000000e+04    3.3778467100e-01    6.6339154412e-01
         3   -2.3681146313e+02    5.6084244952e+04   -3.2507629716e+02    8.8264834033e+01   -1.6299006872e+03    3.1333552394e+01    7.1256390990e+02    5.6092692771e+02    1.3056000000e+04    3.3073734800e-01    6.6328186700e-01
         4   -2.3680985791e+02    5.6083469786e+04   -3.2494357491e+02    8.8133717000e+01   -1.6296864154e+03    3.1296727517e+01    7.1251918526e+02    5.6092692771e+02    1.3056000000e+04    3.3648018600e-01    6.6322114566e-01
         5   -2.3678914485e+02    5.6073700283e+04   -3.2481928693e+02    8.8030142078e+01   -1.6294511217e+03    3.1280960680e+01    7.1242394641e+02    5.6092692771e+02    1.3056000000e+04    3.2676334800e-01    6.6333052492e-01
         6   -2.3680214209e+02    5.6079865196e+04   -3.2483325984e+02    8.8031117748e+01   -1.6298314054e+03    3.1454425905e+01    7.1261679194e+02    5.6092692771e+02    1.3056000000e+04    3.2453183800e-01    6.6323440053e-01
         7   -2.3677880421e+02    5.6068735659e+04   -3.2493468299e+02    8.8155878785e+01   -1.6297400566e+03    3.1302074810e+01    7.1257637109e+02    5.6092692771e+02    1.3056000000e+04    3.2433815400e-01    6.6329899408e-01
         8   -2.3680625696e+02    5.6081836510e+04   -3.2485424054e+02    8.8047983581e+01   -1.6296291475e+03    3.1230964955e+01    7.1261701434e+02    5.6092692771e+02    1.3056000000e+04    3.2369987500e-01    6.6327582465e-01
         9   -2.3681877252e+02    5.6087720694e+04   -3.2482656306e+02    8.8007790539e+01   -1.6294627905e+03    3.1324168249e+01    7.1238513150e+02    5.6092692771e+02    1.3056000000e+04    3.2877644200e-01    6.6332267412e-01
