#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3868012563e+02    5.6970151608e+04   -3.2910473701e+02    9.0424611376e+01   -1.6276114930e+03    3.0800992282e+01    7.0677883603e+02    5.6092692771e+02    1.3056000000e+04    3.2195416900e-01    6.5656671262e-01
         1   -2.3869042070e+02    5.6975093549e+04   -3.2900656072e+02    9.0316140024e+01   -1.6277084689e+03    3.1000979475e+01    7.0677400096e+02    5.6092692771e+02    1.3056000000e+04    3.4916774700e-01    6.5654005396e-01
         2   -2.3865044108e+02    5.6955907078e+04   -3.2895093386e+02    9.0300492785e+01   -1.6277314295e+03    3.1128378969e+01    7.0672518900e+02    5.6092692771e+02    1.3056000000e+04    3.2598635200e-01    6.5655845758e-01
         3   -2.3865655460e+02    5.6958924318e+04   -3.2901823541e+02    9.0361680810e+01   -1.6279112923e+03    3.1123257380e+01    7.0684287184e+02    5.6092692771e+02    1.3056000000e+04    3.4115922600e-01    6.5642020697e-01
         4   -2.3865741337e+02    5.6959305451e+04   -3.2902712271e+02    9.0369709337e+01   -1.6277028688e+03    3.1025339224e+01    7.0672347916e+02    5.6092692771e+02    1.3056000000e+04    3.3142491700e-01    6.5653484137e-01
         5   -2.3867504207e+02    5.6967735769e+04   -3.2921929802e+02    9.0544255946e+01   -1.6277902844e+03    3.0911074781e+01    7.0673298391e+02    5.6092692771e+02    1.3056000000e+04    3.2977628500e-01    6.5641922828e-01
         6   -2.3865257231e+02    5.6956966371e+04   -3.2891079413e+02    9.0258221824e+01   -1.6279477217e+03    3.1177758966e+01    7.0693224093e+02    5.6092692771e+02    1.3056000000e+04    3.3256419900e-01    6.5637499574e-01
         7   -2.3867257457e+02    5.6966535825e+04   -3.2900667754e+02    9.0334102972e+01   -1.6275112170e+03    3.0960214753e+01    7.0661739700e+02    5.6092692771e+02    1.3056000000e+04    3.2924971000e-01    6.5651658667e-01
         8   -2.3867428482e+02    5.6967385087e+04   -3.2911551340e+02    9.0441228582e+01   -1.6278486237e+03    3.0867514999e+01    7.0693866763e+02    5.6092692771e+02    1.3056000000e+04    3.3318014800e-01    6.5671723941e-01
         9   -2.3867182471e+02    5.6966175369e+04   -3.2905982626e+02    9.0388001553e+01   -1.6277546774e+03    3.0985995251e+01    7.0678192815e+02    5.6092692771e+02    1.3056000000e+04    3.2614980200e-01    6.5653056492e-01
