#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3863327904e+02    5.6947716907e+04   -3.2880303484e+02    9.0169755796e+01   -1.6277535163e+03    3.0893952284e+01    7.0712960144e+02    5.6092692771e+02    1.3056000000e+04    3.1554814800e-01    6.5713109766e-01
         1   -2.3866797553e+02    5.6964255702e+04   -3.2880521579e+02    9.0137240258e+01   -1.6282063765e+03    3.1131429665e+01    7.0734280330e+02    5.6092692771e+02    1.3056000000e+04    3.5165761900e-01    6.5700350626e-01
         2   -2.3865928870e+02    5.6960213227e+04   -3.2878972795e+02    9.0130439249e+01   -1.6280402529e+03    3.1045452600e+01    7.0727814460e+02    5.6092692771e+02    1.3056000000e+04    3.3042235800e-01    6.5712007676e-01
         3   -2.3866634124e+02    5.6963578398e+04   -3.2872924499e+02    9.0062903753e+01   -1.6277300446e+03    3.0966888289e+01    7.0710698357e+02    5.6092692771e+02    1.3056000000e+04    3.2360166200e-01    6.5710405603e-01
         4   -2.3863779929e+02    5.6949922288e+04   -3.2880017854e+02    9.0162379256e+01   -1.6277018037e+03    3.0933599960e+01    7.0704109753e+02    5.6092692771e+02    1.3056000000e+04    3.2304627700e-01    6.5698252825e-01
         5   -2.3864525077e+02    5.6953405512e+04   -3.2874264888e+02    9.0097398112e+01   -1.6275756089e+03    3.0866808830e+01    7.0703922348e+02    5.6092692771e+02    1.3056000000e+04    3.3979847800e-01    6.5712948070e-01
         6   -2.3866380965e+02    5.6962312776e+04   -3.2870236739e+02    9.0038557740e+01   -1.6277024530e+03    3.0941835962e+01    7.0713132197e+02    5.6092692771e+02    1.3056000000e+04    3.2544781100e-01    6.5713950163e-01
         7   -2.3864249725e+02    5.6952119325e+04   -3.2873327402e+02    9.0090776769e+01   -1.6274940932e+03    3.0910309431e+01    7.0692358202e+02    5.6092692771e+02    1.3056000000e+04    3.2524935200e-01    6.5705412156e-01
         8   -2.3864684448e+02    5.6954258766e+04   -3.2872396092e+02    9.0077116441e+01   -1.6277673289e+03    3.1015930832e+01    7.0710050944e+02    5.6092692771e+02    1.3056000000e+04    3.3779151500e-01    6.5699863409e-01
         9   -2.3863917527e+02    5.6950586398e+04   -3.2891138338e+02    9.0272208112e+01   -1.6281363425e+03    3.1010520051e+01    7.0728751132e+02    5.6092692771e+02    1.3056000000e+04    3.2852253100e-01    6.5695755038e-01
