#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3867723124e+02    5.6968720505e+04   -3.2905081065e+02    9.0373579410e+01   -1.6274086622e+03    3.0938252006e+01    7.0649267187e+02    5.6092692771e+02    1.3056000000e+04    3.0905874700e-01    6.5660258374e-01
         1   -2.3867180436e+02    5.6966174422e+04   -3.2913595748e+02    9.0464153119e+01   -1.6274794646e+03    3.0892143599e+01    7.0652443581e+02    5.6092692771e+02    1.3056000000e+04    3.5321000400e-01    6.5653550092e-01
         2   -2.3869518905e+02    5.6977342999e+04   -3.2874082258e+02    9.0045633524e+01   -1.6275584350e+03    3.1277335180e+01    7.0661334956e+02    5.6092692771e+02    1.3056000000e+04    3.2557506300e-01    6.5652699057e-01
         3   -2.3866564593e+02    5.6963245585e+04   -3.2899112247e+02    9.0325476533e+01   -1.6278258948e+03    3.1081927480e+01    7.0682591716e+02    5.6092692771e+02    1.3056000000e+04    3.3957475700e-01    6.5669485720e-01
         4   -2.3868985715e+02    5.6974810569e+04   -3.2913620728e+02    9.0446350130e+01   -1.6278051689e+03    3.1123093536e+01    7.0661894042e+02    5.6092692771e+02    1.3056000000e+04    3.2300615800e-01    6.5653801147e-01
         5   -2.3868316464e+02    5.6971585452e+04   -3.2893781491e+02    9.0254650276e+01   -1.6275999324e+03    3.1166218148e+01    7.0656897161e+02    5.6092692771e+02    1.3056000000e+04    3.3204288200e-01    6.5659690308e-01
         6   -2.3867712685e+02    5.6968718020e+04   -3.2904744915e+02    9.0370322303e+01   -1.6274410820e+03    3.0980708322e+01    7.0648599681e+02    5.6092692771e+02    1.3056000000e+04    3.3704985100e-01    6.5658198870e-01
         7   -2.3867079081e+02    5.6965681428e+04   -3.2907950515e+02    9.0408714337e+01   -1.6275589268e+03    3.1098827770e+01    7.0645366618e+02    5.6092692771e+02    1.3056000000e+04    3.2474683200e-01    6.5666241149e-01
         8   -2.3866056020e+02    5.6960823307e+04   -3.2898665736e+02    9.0326097152e+01   -1.6275858787e+03    3.1086662957e+01    7.0658563068e+02    5.6092692771e+02    1.3056000000e+04    3.2306821500e-01    6.5669149561e-01
         9   -2.3867886926e+02    5.6969496394e+04   -3.2888648411e+02    9.0207614850e+01   -1.6275865594e+03    3.1182790906e+01    7.0659035663e+02    5.6092692771e+02    1.3056000000e+04    3.2747215000e-01    6.5656522331e-01
