#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3867263433e+02    5.6966597116e+04   -3.2895802845e+02    9.0285394118e+01   -1.6273849439e+03    3.0974740581e+01    7.0652524713e+02    5.6092692771e+02    1.3056000000e+04    3.5479850800e-01    6.5672113290e-01
         1   -2.3867070540e+02    5.6965635885e+04   -3.2892199554e+02    9.0251290139e+01   -1.6274638384e+03    3.0930790034e+01    7.0668412512e+02    5.6092692771e+02    1.3056000000e+04    3.4149589400e-01    6.5661694496e-01
         2   -2.3867994018e+02    5.6970092518e+04   -3.2871129728e+02    9.0031357106e+01   -1.6276853755e+03    3.1192156370e+01    7.0685499415e+02    5.6092692771e+02    1.3056000000e+04    3.3408465500e-01    6.5661894489e-01
         3   -2.3867393702e+02    5.6967232500e+04   -3.2900387426e+02    9.0329937238e+01   -1.6275441566e+03    3.0941067171e+01    7.0667228751e+02    5.6092692771e+02    1.3056000000e+04    3.4378016600e-01    6.5669892089e-01
         4   -2.3867301043e+02    5.6966797017e+04   -3.2893001983e+02    9.0257009404e+01   -1.6277784624e+03    3.1123427388e+01    7.0679808750e+02    5.6092692771e+02    1.3056000000e+04    3.2947564600e-01    6.5664719924e-01
         5   -2.3866461519e+02    5.6962722201e+04   -3.2891608316e+02    9.0251467971e+01   -1.6278122509e+03    3.1160298520e+01    7.0680894146e+02    5.6092692771e+02    1.3056000000e+04    3.2942953200e-01    6.5666041156e-01
         6   -2.3866264226e+02    5.6961756953e+04   -3.2887915356e+02    9.0216511296e+01   -1.6278179281e+03    3.1176236387e+01    7.0683561047e+02    5.6092692771e+02    1.3056000000e+04    3.3239101300e-01    6.5673643025e-01
         7   -2.3866042123e+02    5.6960778096e+04   -3.2905382697e+02    9.0393405741e+01   -1.6277139764e+03    3.0990014866e+01    7.0674320691e+02    5.6092692771e+02    1.3056000000e+04    3.2879815100e-01    6.5672283497e-01
         8   -2.3866896982e+02    5.6964808065e+04   -3.2885760680e+02    9.0188636983e+01   -1.6273971085e+03    3.1007228012e+01    7.0660534599e+02    5.6092692771e+02    1.3056000000e+04    3.3651198100e-01    6.5674830219e-01
         9   -2.3869040015e+02    5.6975030469e+04   -3.2895340570e+02    9.0263005551e+01   -1.6277927586e+03    3.1141663132e+01    7.0677076204e+02    5.6092692771e+02    1.3056000000e+04    3.4039811300e-01    6.5667485788e-01
