#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        2        0    -0.138604  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
       1        1        6        0    -0.138604  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
       2        2       10        0    -0.138604 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
       3        3       14        0    -0.138604  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
       4        4        2        1     0.169439  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
       5        5        6        1     0.169439  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
       6        6       10        1     0.169439 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
       7        7       14        1     0.169439  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
       8        8        2        2     0.210584  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
       9        9        6        2     0.210584  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      10       10       10        2     0.210584 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      11       11       14        2     0.210584  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
      12       12        2        3     0.379867  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
      13       13        6        3     0.379867  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      14       14       10        3     0.379867 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      15       15       14        3     0.379867  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
      16       16        2        4     0.783796  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
      17       17        6        4     0.783796  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      18       18       10        4     0.783796 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      19       19       14        4     0.783796  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
      20       20        2        5     0.860296  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
      21       21        6        5     0.860296  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      22       22       10        5     0.860296 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      23       23       14        5     0.860296  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
      24       24        2        6     0.948197  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
      25       25        6        6     0.948197  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      26       26       10        6     0.948197 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      27       27       14        6     0.948197  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
      28       28        2        7     1.008241  0.4657  0.4657  0.0000  0.5000  0.2500  0.2500      1
      29       29        6        7     1.008241  0.4657 -0.4657  0.9313  0.0000  0.2500  0.7500      1
      30       30       10        7     1.008241 -0.4657  0.4657  0.9313  0.0000  0.7500  0.2500      1
      31       31       14        7     1.008241  0.4657  0.4657  0.9313  0.5000  0.7500  0.7500      1
