#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5187545443e+01    2.0433400418e+03   -8.1877970927e+01    3.6690425484e+01   -2.2598470192e+01    3.0150870866e+00   -1.1191909741e+01   -5.1102678081e+01   -1.0896201467e+01    5.1200490130e+02    7.1003176600e-01    9.9523925781e-01
         1   -4.5200016162e+01    2.0446247135e+03   -8.1914387832e+01    3.6714371669e+01   -2.2701764801e+01    3.0657845432e+00   -1.1175729493e+01   -5.1102678081e+01   -1.0884589703e+01    5.1203068796e+02    7.3619266900e-01    9.9645996094e-01
         2   -4.5261850609e+01    2.0501159076e+03   -8.2109479914e+01    3.6847629306e+01   -2.2662534597e+01    2.8390221052e+00   -1.1183289342e+01   -5.1102678081e+01   -1.0896404879e+01    5.0912329601e+02    6.9904530200e-01    9.9600933202e-01
         3   -4.5239032664e+01    2.0478740716e+03   -8.1892024901e+01    3.6652992237e+01   -2.2647084533e+01    3.0845814195e+00   -1.1226843707e+01   -5.1102678081e+01   -1.0943866880e+01    5.1381913433e+02    7.1822843700e-01    9.9578033268e-01
         4   -4.5208245107e+01    2.0451407609e+03   -8.1777148732e+01    3.6568903625e+01   -2.2622833051e+01    3.1793757180e+00   -1.1231013317e+01   -5.1102678081e+01   -1.0947023596e+01    5.1410611844e+02    7.1085132300e-01    9.9636627907e-01
         5   -4.5293452999e+01    2.0529553028e+03   -8.2059200259e+01    3.6765747261e+01   -2.2760496556e+01    3.0578469959e+00   -1.1253872618e+01   -5.1102678081e+01   -1.0972124685e+01    5.1211981473e+02    7.0736501600e-01    9.9610894942e-01
         6   -4.5287017306e+01    2.0524487930e+03   -8.2338194183e+01    3.7051176877e+01   -2.2869375375e+01    2.8577773937e+00   -1.1223918121e+01   -5.1102678081e+01   -1.0947915875e+01    5.1490178316e+02    7.0970944600e-01    9.9605582524e-01
         7   -4.5270906971e+01    2.0508314810e+03   -8.2374997092e+01    3.7104090121e+01   -2.2753680547e+01    2.7717257612e+00   -1.1290364225e+01   -5.1102678081e+01   -1.1018948326e+01    5.1110633722e+02    7.1089579000e-01    9.9647373541e-01
         8   -4.5301127424e+01    2.0535170822e+03   -8.2193709585e+01    3.6892582161e+01   -2.2842784285e+01    3.0416839921e+00   -1.1289931211e+01   -5.1102678081e+01   -1.1023494704e+01    5.0800848973e+02    6.9811126300e-01    9.9599358974e-01
         9   -4.5265860485e+01    2.0501568278e+03   -8.2645123935e+01    3.7379263450e+01   -2.2931816714e+01    2.6453957924e+00   -1.1256024932e+01   -5.1102678081e+01   -1.0992474670e+01    5.0985663179e+02    7.8990613000e-01    9.9561511858e-01
        10   -4.5346655306e+01    2.0585126496e+03   -8.3002844975e+01    3.7656189669e+01   -2.2909565838e+01    2.2991039551e+00   -1.1289705011e+01   -5.1102678081e+01   -1.1022305020e+01    5.1433259437e+02    7.0275196800e-01    9.9627685547e-01
        11   -4.5378198215e+01    2.0606151534e+03   -8.2403110420e+01    3.7024912205e+01   -2.2898601398e+01    2.7789147332e+00   -1.1180745674e+01   -5.1102678081e+01   -1.0918359161e+01    5.0976248930e+02    7.0151922700e-01    9.9609375000e-01
        12   -4.5344108074e+01    2.0576263711e+03   -8.2431534338e+01    3.7087426264e+01   -2.2802590794e+01    2.7860671908e+00   -1.1312332654e+01   -5.1102678081e+01   -1.1045618704e+01    5.1111935892e+02    6.9263319600e-01    9.9600933202e-01
        13   -4.5318812426e+01    2.0553086486e+03   -8.2143955289e+01    3.6825142862e+01   -2.2761952537e+01    2.9073972239e+00   -1.1186721894e+01   -5.1102678081e+01   -1.0912391205e+01    5.1280872215e+02    7.0541877300e-01    9.9664306641e-01
        14   -4.5271528941e+01    2.0508471850e+03   -8.2083932169e+01    3.6812403228e+01   -2.2638964853e+01    2.8503225516e+00   -1.1192611786e+01   -5.1102678081e+01   -1.0922642528e+01    5.1104635403e+02    7.5319413900e-01    9.9615478516e-01
        15   -4.5354793483e+01    2.0586867737e+03   -8.2182945941e+01    3.6828152458e+01   -2.2516754752e+01    2.6622465430e+00   -1.1225759651e+01   -5.1102678081e+01   -1.0950302255e+01    5.1014285993e+02    6.9915327400e-01    9.9570235756e-01
        16   -4.5385400514e+01    2.0612126865e+03   -8.2051156797e+01    3.6665756284e+01   -2.2624465869e+01    2.8715265345e+00   -1.1195539381e+01   -5.1102678081e+01   -1.0925926706e+01    5.1391017172e+02    7.0499534300e-01    9.9597167969e-01
        17   -4.5333601123e+01    2.0564146164e+03   -8.2070815700e+01    3.6737214576e+01   -2.2312985899e+01    2.6131816504e+00   -1.1268333370e+01   -5.1102678081e+01   -1.0999341724e+01    5.1198222489e+02    7.1478714000e-01    9.9635214008e-01
