#  Band    State   TwistIndex BandIndex Energy      Kx      Ky      Kz      K1      K2      K3    KmK 
       0        0        3        0    -0.091112  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
       1        1        7        0    -0.091112 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
       2        2       11        0    -0.091112  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
       3        3       15        0    -0.091112  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
       4        4        3        1    -0.001971  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
       5        5        7        1    -0.001971 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
       6        6       11        1    -0.001971  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
       7        7       15        1    -0.001971  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
       8        8        3        2     0.387670  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
       9        9        3        3     0.387670  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
      10       10        7        2     0.387670 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      11       11        7        3     0.387670 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      12       12       11        2     0.387670  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      13       13       11        3     0.387670  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      14       14       15        2     0.387670  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
      15       15       15        3     0.387670  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
      16       16        3        4     0.802529  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
      17       17        3        5     0.802529  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
      18       18        7        4     0.802529 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      19       19        7        5     0.802529 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      20       20       11        4     0.802529  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      21       21       11        5     0.802529  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      22       22       15        4     0.802529  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
      23       23       15        5     0.802529  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
      24       24        3        6     0.820942  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
      25       25        7        6     0.820942 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      26       26       11        6     0.820942  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      27       27       15        6     0.820942  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
      28       28        3        7     1.070469  0.4657  0.4657  0.4657  0.5000  0.5000  0.5000      1
      29       29        7        7     1.070469 -0.4657  0.4657  0.4657  0.0000  0.5000  0.0000      1
      30       30       11        7     1.070469  0.4657 -0.4657  0.4657  0.0000  0.0000  0.5000      1
      31       31       15        7     1.070469  0.4657  0.4657 -0.4657  0.5000  0.0000  0.0000      1
