#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -4.5728849470e+01    2.0922670362e+03   -8.0917945327e+01    3.5189095856e+01   -2.1496122253e+01    3.3785563676e+00   -1.1697701361e+01   -5.1102678081e+01   -1.1417650884e+01    5.1187774260e+02    6.5684506700e-01    9.9572753906e-01
         1   -4.5852790151e+01    2.1054850514e+03   -8.0772839123e+01    3.4920048972e+01   -2.1427107357e+01    3.4025079011e+00   -1.1645561586e+01   -5.1102678081e+01   -1.1362658926e+01    5.1230288062e+02    6.5921125200e-01    9.9584960938e-01
         2   -4.5962617547e+01    2.1140189695e+03   -8.0943904550e+01    3.4981287004e+01   -2.1377761042e+01    3.0777198185e+00   -1.1541185246e+01   -5.1102678081e+01   -1.1255986090e+01    5.1210667768e+02    6.6410900200e-01    9.9639892578e-01
         3   -4.5896220403e+01    2.1076793478e+03   -8.0518103292e+01    3.4621882889e+01   -2.1406347543e+01    3.5339837563e+00   -1.1543061424e+01   -5.1102678081e+01   -1.1256465773e+01    5.1070340785e+02    6.7339790300e-01    9.9565802348e-01
         4   -4.5925872370e+01    2.1108828326e+03   -8.0339471125e+01    3.4413598756e+01   -2.1281046306e+01    3.6250843278e+00   -1.1580831066e+01   -5.1102678081e+01   -1.1297033407e+01    5.1037947509e+02    6.7793017400e-01    9.9619351670e-01
         5   -4.5897790547e+01    2.1082376346e+03   -8.0667211212e+01    3.4769420665e+01   -2.1259025647e+01    3.2792036007e+00   -1.1584711085e+01   -5.1102678081e+01   -1.1304686885e+01    5.1255215810e+02    6.9028734700e-01    9.9529109589e-01
         6   -4.5945234833e+01    2.1122946462e+03   -8.0562474553e+01    3.4617239720e+01   -2.1031279399e+01    3.1976182974e+00   -1.1626135370e+01   -5.1102678081e+01   -1.1342379081e+01    5.1658030589e+02    6.7815622100e-01    9.9661508704e-01
         7   -4.5920049660e+01    2.1099254635e+03   -8.0310328994e+01    3.4390279334e+01   -2.1058840578e+01    3.5148151070e+00   -1.1663625443e+01   -5.1102678081e+01   -1.1382330338e+01    5.1336745487e+02    6.8323867700e-01    9.9656129344e-01
         8   -4.5900613155e+01    2.1082263957e+03   -8.0470510176e+01    3.4569897020e+01   -2.0929106861e+01    3.2913295440e+00   -1.1730054778e+01   -5.1102678081e+01   -1.1449228526e+01    5.1258701625e+02    6.7531614300e-01    9.9671692607e-01
         9   -4.5848594105e+01    2.1032979018e+03   -8.0545505851e+01    3.4696911747e+01   -2.0827440815e+01    3.1188594211e+00   -1.1734246377e+01   -5.1102678081e+01   -1.1460521361e+01    5.0828386398e+02    7.6587724700e-01    9.9527259332e-01
        10   -4.5833454641e+01    2.1018960421e+03   -8.0366458742e+01    3.4533004101e+01   -2.0558148139e+01    3.0077069086e+00   -1.1713339431e+01   -5.1102678081e+01   -1.1439688291e+01    5.1365150609e+02    6.9117399800e-01    9.9718137255e-01
        11   -4.5855677606e+01    2.1039386089e+03   -8.0667850930e+01    3.4812173324e+01   -2.0805670881e+01    2.9149967257e+00   -1.1674498693e+01   -5.1102678081e+01   -1.1401565273e+01    5.1141251072e+02    6.9949999900e-01    9.9689327485e-01
        12   -4.5940454317e+01    2.1118506082e+03   -8.0615925639e+01    3.4675471323e+01   -2.0865936840e+01    3.0012924658e+00   -1.1648603184e+01   -5.1102678081e+01   -1.1377398877e+01    5.1379706112e+02    7.1022243700e-01    9.9622319688e-01
        13   -4.5884513962e+01    2.1068026926e+03   -8.0496853116e+01    3.4612339154e+01   -2.0483667740e+01    2.8356617018e+00   -1.1746168997e+01   -5.1102678081e+01   -1.1474832243e+01    5.1608434285e+02    7.1775346500e-01    9.9758687259e-01
        14   -4.5866103225e+01    2.1050383458e+03   -8.0558054756e+01    3.4691951531e+01   -2.0785820538e+01    3.0568773345e+00   -1.1726433472e+01   -5.1102678081e+01   -1.1464049822e+01    5.1089285887e+02    7.0968892100e-01    9.9654126214e-01
        15   -4.5895925717e+01    2.1077248782e+03   -8.1072005705e+01    3.5176079988e+01   -2.1244601885e+01    3.0324234906e+00   -1.1757149229e+01   -5.1102678081e+01   -1.1490302679e+01    5.1018063959e+02    6.8845459700e-01    9.9643909627e-01
        16   -4.5833865805e+01    2.1022597927e+03   -8.1355300539e+01    3.5521434734e+01   -2.1431039325e+01    2.9393617343e+00   -1.1760944868e+01   -5.1102678081e+01   -1.1495993224e+01    5.1162439276e+02    6.6232165400e-01    9.9687500000e-01
        17   -4.5857680406e+01    2.1043376908e+03   -8.0999371539e+01    3.5141691134e+01   -2.1545448693e+01    3.2850423994e+00   -1.1636287165e+01   -5.1102678081e+01   -1.1365479691e+01    5.1142595534e+02    6.7736534300e-01    9.9614726027e-01
        18   -4.5863792129e+01    2.1049007386e+03   -8.1084690299e+01    3.5220898170e+01   -2.1553024006e+01    3.1061149348e+00   -1.1535103146e+01   -5.1102678081e+01   -1.1269028792e+01    5.1158170377e+02    6.7923097400e-01    9.9669765166e-01
        19   -4.5911814238e+01    2.1097160388e+03   -8.1299859131e+01    3.5388044893e+01   -2.1617469149e+01    3.0043495255e+00   -1.1584061426e+01   -5.1102678081e+01   -1.1316074309e+01    5.1152596856e+02    7.7916239500e-01    9.9694227006e-01
        20   -4.5918543263e+01    2.1098421098e+03   -8.1284417583e+01    3.5365874320e+01   -2.1615610503e+01    3.1032603890e+00   -1.1669389388e+01   -5.1102678081e+01   -1.1394135870e+01    5.1246196500e+02    6.7573158800e-01    9.9615478516e-01
        21   -4.5893922021e+01    2.1074994472e+03   -8.1105116554e+01    3.5211194533e+01   -2.1552537462e+01    3.2224097088e+00   -1.1672310720e+01   -5.1102678081e+01   -1.1397053511e+01    5.1191983097e+02    6.6898211000e-01    9.9603271484e-01
        22   -4.5892542745e+01    2.1076769808e+03   -8.1013238250e+01    3.5120695505e+01   -2.1309630083e+01    3.0169805580e+00   -1.1617910644e+01   -5.1102678081e+01   -1.1344890071e+01    5.1393629662e+02    6.7231465900e-01    9.9629134241e-01
        23   -4.5890065512e+01    2.1074028063e+03   -8.1049653297e+01    3.5159587785e+01   -2.1308054341e+01    2.9805248496e+00   -1.1619445725e+01   -5.1102678081e+01   -1.1344847761e+01    5.1690803244e+02    6.7622218100e-01    9.9582930368e-01
        24   -4.5939843843e+01    2.1119167797e+03   -8.1109131091e+01    3.5169287248e+01   -2.1405539022e+01    3.0045118929e+00   -1.1605425881e+01   -5.1102678081e+01   -1.1326210581e+01    5.1904638526e+02    6.7673834600e-01    9.9578516378e-01
        25   -4.5959775719e+01    2.1136954725e+03   -8.0855123908e+01    3.4895348189e+01   -2.1407913536e+01    3.1986923088e+00   -1.1543224600e+01   -5.1102678081e+01   -1.1269180358e+01    5.2219309788e+02    6.8156300600e-01    9.9724616858e-01
        26   -4.5925019226e+01    2.1110362505e+03   -8.0459010288e+01    3.4533991061e+01   -2.1102542541e+01    3.1567459783e+00   -1.1410535644e+01   -5.1102678081e+01   -1.1134922914e+01    5.2101162490e+02    6.8035403500e-01    9.9622120921e-01
        27   -4.5957888032e+01    2.1135508889e+03   -8.0615122714e+01    3.4657234682e+01   -2.0871577820e+01    2.9144765184e+00   -1.1555343331e+01   -5.1102678081e+01   -1.1288358382e+01    5.2204100390e+02    6.8153781200e-01    9.9646791188e-01
        28   -4.5980150962e+01    2.1157040631e+03   -8.0620683776e+01    3.4640532813e+01   -2.0961067283e+01    3.0422068343e+00   -1.1599145246e+01   -5.1102678081e+01   -1.1331908540e+01    5.2314298941e+02    6.9032120900e-01    9.9605640535e-01
        29   -4.5983345785e+01    2.1159896238e+03   -8.1038564511e+01    3.5055218726e+01   -2.1437084426e+01    3.1803182996e+00   -1.1679120303e+01   -5.1102678081e+01   -1.1406318232e+01    5.2418870981e+02    7.8615342500e-01    9.9540791985e-01
        30   -4.6010653592e+01    2.1183933346e+03   -8.0988540505e+01    3.4977886913e+01   -2.1237707186e+01    2.9821923924e+00   -1.1630347631e+01   -5.1102678081e+01   -1.1357689444e+01    5.2820462015e+02    6.7493745100e-01    9.9633049242e-01
        31   -4.5903888978e+01    2.1086708045e+03   -8.0950554786e+01    3.5046665808e+01   -2.1302355885e+01    3.0585031806e+00   -1.1604024001e+01   -5.1102678081e+01   -1.1330490224e+01    5.2991769321e+02    6.8093615300e-01    9.9616745283e-01
        32   -4.5929046817e+01    2.1111374872e+03   -8.0808009187e+01    3.4878962370e+01   -2.1376664966e+01    3.2618501682e+00   -1.1590516308e+01   -5.1102678081e+01   -1.1315288529e+01    5.3171917924e+02    6.9402856900e-01    9.9624060150e-01
        33   -4.5952021214e+01    2.1129893192e+03   -8.1297114301e+01    3.5345093087e+01   -2.1500272213e+01    2.9272768189e+00   -1.1621440826e+01   -5.1102678081e+01   -1.1348978156e+01    5.2981287479e+02    6.9056442200e-01    9.9669811321e-01
        34   -4.5897154042e+01    2.1079640698e+03   -8.1375845643e+01    3.5478691601e+01   -2.1554017406e+01    2.9422849843e+00   -1.1661435140e+01   -5.1102678081e+01   -1.1395173263e+01    5.3177965832e+02    6.9752114200e-01    9.9659304511e-01
        35   -4.5874824863e+01    2.1058316725e+03   -8.1240764667e+01    3.5365939803e+01   -2.1485052679e+01    2.9662711813e+00   -1.1619305088e+01   -5.1102678081e+01   -1.1347077581e+01    5.3052806232e+02    7.0422602100e-01    9.9670433145e-01
