#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              MPC                 BlockWeight         BlockCPU            AcceptRatio         
         0   -2.3875465938e+02    5.7005163822e+04   -3.2932234894e+02    9.0567689557e+01   -1.6266772391e+03    3.1334455972e+01    7.0509350646e+02    5.6092692771e+02    7.0515493790e+02    4.0959186659e+04    4.3223091200e+00    9.9953219802e-01
         1   -2.3886377233e+02    5.7057272944e+04   -3.2913207611e+02    9.0268303776e+01   -1.6266090387e+03    3.1521846586e+01    7.0502818831e+02    5.6092692771e+02    7.0508799038e+02    4.0967116050e+04    4.3359439680e+00    9.9952759342e-01
         2   -2.3886980858e+02    5.7060169944e+04   -3.2917052523e+02    9.0300716655e+01   -1.6263339475e+03    3.1193682500e+01    7.0504281203e+02    5.6092692771e+02    7.0510011555e+02    4.0957655324e+04    4.2956236110e+00    9.9952018167e-01
         3   -2.3890314271e+02    5.7076059164e+04   -3.2912767096e+02    9.0224528255e+01   -1.6265767132e+03    3.1518921138e+01    7.0500319337e+02    5.6092692771e+02    7.0505685681e+02    4.0954248937e+04    4.2923975050e+00    9.9953008462e-01
         4   -2.3893129299e+02    5.7089524153e+04   -3.2942014543e+02    9.0488852440e+01   -1.6269121037e+03    3.1409692639e+01    7.0515533795e+02    5.6092692771e+02    7.0521051747e+02    4.0948858641e+04    4.3174952700e+00    9.9952563601e-01
         5   -2.3892803147e+02    5.7087994501e+04   -3.2946209340e+02    9.0534061930e+01   -1.6269243564e+03    3.1239319026e+01    7.0529601627e+02    5.6092692771e+02    7.0535086259e+02    4.0977162115e+04    4.3718434920e+00    9.9951314363e-01
         6   -2.3893402729e+02    5.7090796410e+04   -3.2931659689e+02    9.0382569604e+01   -1.6266475549e+03    3.1075484928e+01    7.0532854534e+02    5.6092692771e+02    7.0538366247e+02    4.0960799454e+04    4.3493084780e+00    9.9950692342e-01
         7   -2.3892883969e+02    5.7088363972e+04   -3.2918158047e+02    9.0252740785e+01   -1.6268291653e+03    3.1329718504e+01    7.0539093858e+02    5.6092692771e+02    7.0544705696e+02    4.0952155972e+04    4.3896283400e+00    9.9951835933e-01
         8   -2.3895853784e+02    5.7102545735e+04   -3.2943687522e+02    9.0478337380e+01   -1.6267215011e+03    3.1183899307e+01    7.0517379888e+02    5.6092692771e+02    7.0522806415e+02    4.0965972733e+04    4.3445182330e+00    9.9951806379e-01
         9   -2.3895182643e+02    5.7099329774e+04   -3.2934973388e+02    9.0397907442e+01   -1.6270058943e+03    3.1461857496e+01    7.0526737519e+02    5.6092692771e+02    7.0531965589e+02    4.0955720187e+04    4.3238568210e+00    9.9951530986e-01
        10   -2.3893631692e+02    5.7091953829e+04   -3.2947785180e+02    9.0541534879e+01   -1.6271380337e+03    3.1436840056e+01    7.0529641415e+02    5.6092692771e+02    7.0534819013e+02    4.0978045529e+04    4.2704172230e+00    9.9951809841e-01
        11   -2.3897753518e+02    5.7111718319e+04   -3.2915394948e+02    9.0176414296e+01   -1.6269554373e+03    3.1675821860e+01    7.0519873825e+02    5.6092692771e+02    7.0525157380e+02    4.0966030225e+04    4.2799746090e+00    9.9952485559e-01
        12   -2.3898691168e+02    5.7116146143e+04   -3.2943300490e+02    9.0446093216e+01   -1.6268405805e+03    3.1316449891e+01    7.0516419802e+02    5.6092692771e+02    7.0521886974e+02    4.0951924610e+04    4.2959106340e+00    9.9951102102e-01
        13   -2.3897130632e+02    5.7108681351e+04   -3.2980779818e+02    9.0836491858e+01   -1.6266397200e+03    3.0839925728e+01    7.0506506843e+02    5.6092692771e+02    7.0512060036e+02    4.0961641344e+04    4.3169580730e+00    9.9951976803e-01
        14   -2.3897900084e+02    5.7112476286e+04   -3.2970323170e+02    9.0724230862e+01   -1.6265057026e+03    3.0835846072e+01    7.0503969712e+02    5.6092692771e+02    7.0509371472e+02    4.0962401842e+04    4.2979050810e+00    9.9950237218e-01
        15   -2.3900561944e+02    5.7125068306e+04   -3.2934178971e+02    9.0336170272e+01   -1.6266078971e+03    3.1232737513e+01    7.0510644213e+02    5.6092692771e+02    7.0516190850e+02    4.0939974539e+04    4.2848171760e+00    9.9951885612e-01
        16   -2.3900804946e+02    5.7126235755e+04   -3.2946557830e+02    9.0457528843e+01   -1.6263918842e+03    3.0952229681e+01    7.0504714854e+02    5.6092692771e+02    7.0510188350e+02    4.0962286394e+04    4.3442464340e+00    9.9951630094e-01
        17   -2.3897422497e+02    5.7110103174e+04   -3.2940203694e+02    9.0427811973e+01   -1.6265066083e+03    3.1162565033e+01    7.0501507862e+02    5.6092692771e+02    7.0506964918e+02    4.0967019143e+04    4.2901985390e+00    9.9951430245e-01
        18   -2.3900924431e+02    5.7126710289e+04   -3.2950914334e+02    9.0499899030e+01   -1.6263535620e+03    3.1015408639e+01    7.0490208228e+02    5.6092692771e+02    7.0495747170e+02    4.0934468522e+04    4.3291976610e+00    9.9952750751e-01
        19   -2.3901167691e+02    5.7127913041e+04   -3.2935500563e+02    9.0343328727e+01   -1.6263804699e+03    3.1139531580e+01    7.0495900498e+02    5.6092692771e+02    7.0501382124e+02    4.0942013624e+04    4.3786554280e+00    9.9952307642e-01
