#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2633751969e+01    2.7716366103e+03   -7.3480824722e+01    2.0847072753e+01   -1.8093873514e+01    7.1488835471e+00   -8.8619708382e+00   -5.3673863918e+01    2.2848000000e+04    1.7950534100e-01    6.5767754289e-01
         1   -5.2623732229e+01    2.7705907231e+03   -7.3478194280e+01    2.0854462051e+01   -1.8071602389e+01    7.1090240320e+00   -8.8417520053e+00   -5.3673863918e+01    2.2848000000e+04    1.5809426500e-01    6.5761197917e-01
         2   -5.2633779653e+01    2.7716573078e+03   -7.3512013293e+01    2.0878233640e+01   -1.8010183881e+01    7.0269972829e+00   -8.8549627766e+00   -5.3673863918e+01    2.2848000000e+04    1.4325656900e-01    6.5758018207e-01
         3   -5.2611268320e+01    2.7693087751e+03   -7.3485979044e+01    2.0874710724e+01   -1.8130515259e+01    7.1541095118e+00   -8.8357093790e+00   -5.3673863918e+01    2.2848000000e+04    1.6687929700e-01    6.5759407826e-01
         4   -5.2628909944e+01    2.7711619547e+03   -7.3490654662e+01    2.0861744718e+01   -1.8036849034e+01    7.0688302888e+00   -8.8487719992e+00   -5.3673863918e+01    2.2848000000e+04    1.6264491800e-01    6.5764255077e-01
         5   -5.2622809612e+01    2.7705148749e+03   -7.3442896184e+01    2.0820086572e+01   -1.8048225017e+01    7.1200557671e+00   -8.8408630164e+00   -5.3673863918e+01    2.2848000000e+04    1.4377191900e-01    6.5759366246e-01
         6   -5.2635328923e+01    2.7718490052e+03   -7.3573174130e+01    2.0937845207e+01   -1.8049977414e+01    7.0027781777e+00   -8.8521109760e+00   -5.3673863918e+01    2.2848000000e+04    1.6901494600e-01    6.5756934961e-01
         7   -5.2626453969e+01    2.7709032779e+03   -7.3494120450e+01    2.0867666481e+01   -1.8082638219e+01    7.1249363760e+00   -8.8625546893e+00   -5.3673863918e+01    2.2848000000e+04    1.5320905500e-01    6.5757560837e-01
         8   -5.2622868617e+01    2.7705100052e+03   -7.3530568300e+01    2.0907699683e+01   -1.8095282872e+01    7.0857718958e+00   -8.8471934055e+00   -5.3673863918e+01    2.2848000000e+04    1.3974652400e-01    6.5760180322e-01
         9   -5.2624248387e+01    2.7706480609e+03   -7.3477152677e+01    2.0852904290e+01   -1.7971553714e+01    7.0688833934e+00   -8.9006184385e+00   -5.3673863918e+01    2.2848000000e+04    1.6869619100e-01    6.5754783789e-01
