#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2627499956e+01    2.7710144677e+03   -7.3486434518e+01    2.0858934562e+01   -1.8065177017e+01    7.1100885874e+00   -8.8574821705e+00   -5.3673863918e+01    2.2848000000e+04    1.4353510700e-01    6.5746969100e-01
         1   -5.2617179982e+01    2.7699158765e+03   -7.3466336362e+01    2.0849156380e+01   -1.8043768224e+01    7.0985254669e+00   -8.8472296871e+00   -5.3673863918e+01    2.2848000000e+04    1.7014382400e-01    6.5732497374e-01
         2   -5.2632466349e+01    2.7715072434e+03   -7.3538827920e+01    2.0906361570e+01   -1.8076260786e+01    7.0758296583e+00   -8.8645328747e+00   -5.3673863918e+01    2.2848000000e+04    1.5170670400e-01    6.5733812588e-01
         3   -5.2639057647e+01    2.7722293169e+03   -7.3476816604e+01    2.0837758957e+01   -1.8083696242e+01    7.1350390279e+00   -8.8542954721e+00   -5.3673863918e+01    2.2848000000e+04    1.4383265300e-01    6.5732317927e-01
         4   -5.2615446751e+01    2.7697412561e+03   -7.3502649899e+01    2.0887203148e+01   -1.8104144151e+01    7.1310740043e+00   -8.8557158342e+00   -5.3673863918e+01    2.2848000000e+04    1.6440178300e-01    6.5749365371e-01
         5   -5.2619985579e+01    2.7702310175e+03   -7.3487310251e+01    2.0867324672e+01   -1.8065976671e+01    7.0841313138e+00   -8.8316009753e+00   -5.3673863918e+01    2.2848000000e+04    1.6008763300e-01    6.5752159926e-01
         6   -5.2618828684e+01    2.7700969410e+03   -7.3494070024e+01    2.0875241340e+01   -1.8109846193e+01    7.1420166421e+00   -8.8523765552e+00   -5.3673863918e+01    2.2848000000e+04    1.5344615400e-01    6.5745853029e-01
         7   -5.2633877431e+01    2.7716948325e+03   -7.3490924043e+01    2.0857046612e+01   -1.8165080421e+01    7.1808110688e+00   -8.8327907736e+00   -5.3673863918e+01    2.2848000000e+04    1.6736848900e-01    6.5743800333e-01
         8   -5.2621584999e+01    2.7703867627e+03   -7.3460714271e+01    2.0839129273e+01   -1.8054586237e+01    7.1529597340e+00   -8.8852238507e+00   -5.3673863918e+01    2.2848000000e+04    1.6182057000e-01    6.5747406775e-01
         9   -5.2624759400e+01    2.7707224009e+03   -7.3486401791e+01    2.0861642391e+01   -1.8049231181e+01    7.1286976334e+00   -8.8920043259e+00   -5.3673863918e+01    2.2848000000e+04    1.6227890600e-01    6.5735401348e-01
