#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2622977629e+01    2.7705448992e+03   -7.3510247356e+01    2.0887269727e+01   -1.8202080474e+01    7.1757935609e+00   -8.8100965251e+00   -5.3673863918e+01    2.2848000000e+04    1.3946594700e-01    6.5737988008e-01
         1   -5.2636246735e+01    2.7719374565e+03   -7.3498645575e+01    2.0862398841e+01   -1.8129287680e+01    7.1293006635e+00   -8.8247946408e+00   -5.3673863918e+01    2.2848000000e+04    1.7661367000e-01    6.5731965599e-01
         2   -5.2630975422e+01    2.7713563854e+03   -7.3500401224e+01    2.0869425801e+01   -1.8077554104e+01    7.0966362184e+00   -8.8456194204e+00   -5.3673863918e+01    2.2848000000e+04    1.6767299500e-01    6.5735994398e-01
         3   -5.2636874892e+01    2.7719913419e+03   -7.3468484581e+01    2.0831609688e+01   -1.8087567048e+01    7.1411165544e+00   -8.8481701690e+00   -5.3673863918e+01    2.2848000000e+04    1.4626990100e-01    6.5731878064e-01
         4   -5.2630112303e+01    2.7713336414e+03   -7.3467636116e+01    2.0837523812e+01   -1.8041822602e+01    7.1032108061e+00   -8.8551604020e+00   -5.3673863918e+01    2.2848000000e+04    1.4550230700e-01    6.5726140144e-01
         5   -5.2627991112e+01    2.7710416889e+03   -7.3546071375e+01    2.0918080263e+01   -1.8038491139e+01    7.0234317420e+00   -8.8571480610e+00   -5.3673863918e+01    2.2848000000e+04    1.7335010200e-01    6.5733414303e-01
         6   -5.2618165224e+01    2.7700238788e+03   -7.3475547744e+01    2.0857382520e+01   -1.8047638089e+01    7.0982481146e+00   -8.8522938515e+00   -5.3673863918e+01    2.2848000000e+04    1.4430064000e-01    6.5740196078e-01
         7   -5.2630507568e+01    2.7713529592e+03   -7.3503485972e+01    2.0872978405e+01   -1.8104254362e+01    7.1301625993e+00   -8.8555302921e+00   -5.3673863918e+01    2.2848000000e+04    1.5285030300e-01    6.5738432248e-01
         8   -5.2637575576e+01    2.7720646702e+03   -7.3437212167e+01    2.0799636591e+01   -1.8129689448e+01    7.2012856651e+00   -8.8349444668e+00   -5.3673863918e+01    2.2848000000e+04    1.7245739700e-01    6.5737386204e-01
         9   -5.2616865489e+01    2.7698966724e+03   -7.3603572823e+01    2.0986707334e+01   -1.8099491128e+01    7.0183715124e+00   -8.8485892900e+00   -5.3673863918e+01    2.2848000000e+04    1.5168562700e-01    6.5740388655e-01
