#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2629977485e+01    2.7712687248e+03   -7.3452997948e+01    2.0823020464e+01   -1.8048700327e+01    7.1282163940e+00   -8.8586500978e+00   -5.3673863918e+01    2.2848000000e+04    1.5574176400e-01    6.5761679359e-01
         1   -5.2619103029e+01    2.7701303564e+03   -7.3471510375e+01    2.0852407346e+01   -1.8051713748e+01    7.1022488955e+00   -8.8481816047e+00   -5.3673863918e+01    2.2848000000e+04    1.4197305300e-01    6.5775687150e-01
         2   -5.2611063004e+01    2.7692973351e+03   -7.3477384074e+01    2.0866321070e+01   -1.8009992828e+01    7.0796208905e+00   -8.8731482192e+00   -5.3673863918e+01    2.2848000000e+04    1.4179779100e-01    6.5759701068e-01
         3   -5.2624994591e+01    2.7707519185e+03   -7.3487138349e+01    2.0862143758e+01   -1.8064897422e+01    7.1141560977e+00   -8.8625331066e+00   -5.3673863918e+01    2.2848000000e+04    1.5581509800e-01    6.5762268032e-01
         4   -5.2623275074e+01    2.7705686103e+03   -7.3422060114e+01    2.0798785039e+01   -1.8091999003e+01    7.1825005448e+00   -8.8386977372e+00   -5.3673863918e+01    2.2848000000e+04    1.5879434700e-01    6.5763462885e-01
         5   -5.2631197817e+01    2.7714302821e+03   -7.3475183745e+01    2.0843985927e+01   -1.8043615994e+01    7.1188870230e+00   -8.8765908559e+00   -5.3673863918e+01    2.2848000000e+04    1.4951129000e-01    6.5763841474e-01
         6   -5.2612535769e+01    2.7694903785e+03   -7.3510257727e+01    2.0897721958e+01   -1.8065015616e+01    7.0900938252e+00   -8.8614720179e+00   -5.3673863918e+01    2.2848000000e+04    1.5238274500e-01    6.5757438288e-01
         7   -5.2622849706e+01    2.7705594183e+03   -7.3494856355e+01    2.0872006649e+01   -1.8050130684e+01    7.0834234316e+00   -8.8542851849e+00   -5.3673863918e+01    2.2848000000e+04    1.4904064600e-01    6.5762867647e-01
         8   -5.2625618455e+01    2.7708035755e+03   -7.3489313873e+01    2.0863695418e+01   -1.8098110068e+01    7.1372831346e+00   -8.8546230219e+00   -5.3673863918e+01    2.2848000000e+04    1.6490988400e-01    6.5755945816e-01
         9   -5.2624706150e+01    2.7707086082e+03   -7.3462324688e+01    2.0837618539e+01   -1.8049667135e+01    7.1079352631e+00   -8.8467288984e+00   -5.3673863918e+01    2.2848000000e+04    1.5222648100e-01    6.5757118785e-01
