#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
         0   -5.2623556426e+01    2.7706095951e+03   -7.3501507962e+01    2.0877951536e+01   -1.8105926856e+01    7.1405550850e+00   -8.8622722726e+00   -5.3673863918e+01    2.2848000000e+04    1.3122744400e-01    6.5750737482e-01
         1   -5.2626548859e+01    2.7709171895e+03   -7.3503068185e+01    2.0876519326e+01   -1.8101891784e+01    7.1264990959e+00   -8.8538115795e+00   -5.3673863918e+01    2.2848000000e+04    1.5955556900e-01    6.5760631127e-01
         2   -5.2618509591e+01    2.7700858465e+03   -7.3526566036e+01    2.0908056445e+01   -1.8126264338e+01    7.1005757974e+00   -8.8270135778e+00   -5.3673863918e+01    2.2848000000e+04    1.6514520800e-01    6.5757296043e-01
         3   -5.2629263094e+01    2.7712178649e+03   -7.3530063265e+01    2.0900800171e+01   -1.8133965892e+01    7.1450576415e+00   -8.8672910959e+00   -5.3673863918e+01    2.2848000000e+04    1.3255045700e-01    6.5757101278e-01
         4   -5.2632471103e+01    2.7715504811e+03   -7.3490419054e+01    2.0857947950e+01   -1.8084599045e+01    7.0982671635e+00   -8.8302232542e+00   -5.3673863918e+01    2.2848000000e+04    1.5152209100e-01    6.5753164391e-01
         5   -5.2626988313e+01    2.7709526220e+03   -7.3465748073e+01    2.0838759761e+01   -1.8087422885e+01    7.1383002053e+00   -8.8427614754e+00   -5.3673863918e+01    2.2848000000e+04    1.5546878600e-01    6.5767673319e-01
         6   -5.2624813085e+01    2.7707429864e+03   -7.3482375143e+01    2.0857562058e+01   -1.8042103239e+01    7.0584863495e+00   -8.8248943361e+00   -5.3673863918e+01    2.2848000000e+04    1.5018363700e-01    6.5772503064e-01
         7   -5.2623011106e+01    2.7705627761e+03   -7.3512939887e+01    2.0889928781e+01   -1.8069593731e+01    7.0952437768e+00   -8.8647260152e+00   -5.3673863918e+01    2.2848000000e+04    1.5794421900e-01    6.5768504902e-01
         8   -5.2627750973e+01    2.7710559644e+03   -7.3518697887e+01    2.0890946914e+01   -1.8082451406e+01    7.0755270156e+00   -8.8379095797e+00   -5.3673863918e+01    2.2848000000e+04    1.4964100400e-01    6.5769194240e-01
         9   -5.2620024913e+01    2.7702223762e+03   -7.3524959592e+01    2.0904934680e+01   -1.8129769173e+01    7.1116818776e+00   -8.8330083792e+00   -5.3673863918e+01    2.2848000000e+04    1.5127826800e-01    6.5760893732e-01
